objectid,title,author,publisher,date,edition_date,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,identifier,image_small,image_thumb,image_alt_text,object_transcript
aa001,"Poems of the four seas, by Joshua Henry Jones.","Jones, Joshua Henry",The Cornhill publishing co.,1921,1921,african american poets,"Orangeburg, SC",33.49260872,-80.85561476,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,"Public Domain, Google-digitized",https://www.hathitrust.org/the-collection/search-access/access-use-policy/#pd-google,image,https://hdl.handle.net/2027/chi.088110651,jones,/objects/small/jones_sm.jpg,/objects/thumbs/jones_th.jpg,"Poems of the four seas, by Joshua Henry Jones.",
aa002,"From the heart of a folk; a book of songs, by Waverley Turner Carmichael, with an introduction by James Hanford","Carmichael, Waverley Turner",The Cornhill company,1918,1918,african american poets,"Snow Hill, AL",32.00484463,-87.00720654,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,"Public Domain, Google-digitized",https://www.hathitrust.org/the-collection/search-access/access-use-policy/#pd-google,image,https://hdl.handle.net/2027/hvd.32044080899966,carmichael,/objects/small/carmichael_sm.jpg,/objects/thumbs/carmichael_th.jpg,"From the heart of a folk; a book of songs, by Waverley Turner Carmichael, with an introduction by James Hanford",
apa-aa001,Sông I sing : poems / Bao Phi,"Phi, Bao, 1975-",Coffee House Press,2011,2011,asian american poets,"Saigon, Vietnam",10.82219926,106.6299854,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,Protected by copyright law,https://www.hathitrust.org/the-collection/search-access/access-use-policy/#ic,image,/objects/phi.jpeg,phi,/objects/small/phi_sm.jpg,/objects/thumbs/phi_th.jpg,Sông I sing : poems / Bao Phi,
apa-aa002,Night sky with exit wounds / Ocean Vuong,"Vuong, Ocean, 1988-",Copper Canyon Press,2016,2016,asian american poets,"Saigon, Vietnam",10.82219926,106.6299854,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,Protected by copyright law,https://www.hathitrust.org/the-collection/search-access/access-use-policy/#ic,image,https://hdl.handle.net/2027/hvd.32044134446327,vuong,/objects/small/vuong_sm.jpg,/objects/thumbs/vuong_th.jpg,Night sky with exit wounds / Ocean Vuong,
apa-pa001,Kalahele : poetry and art / by Imaikalani Kalahele,"Kalahele, Imaikalani",Kalamakū Press,2002,2002,pacific islander poets,"Honolulu, HI",21.3113221,-157.8602033,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,Protected by copyright law,https://www.hathitrust.org/the-collection/search-access/access-use-policy/#ic,image,https://hdl.handle.net/2027/mdp.39015056441465,kalahele,/objects/small/kalahele_sm.jpg,/objects/thumbs/kalahele_th.jpg,Kalahele : poetry and art / by Imaikalani Kalahele,
apa-pa002,The Kumulipo : an Hawaiian creation myth,"Liliuokalani, Queen of Hawaii, 1838-1917",Pueo Press,1897,1978,pacific islander poets,"Honolulu, HI",21.3113221,-157.8602033,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng; haw,"Public Domain in the United States, Google-digitized",https://www.hathitrust.org/the-collection/search-access/access-use-policy/#pd-us-google,image,https://hdl.handle.net/2027/mdp.39015019965071,liliuokalani,/objects/small/liliuokalani_sm.jpg,/objects/thumbs/liliuokalani_th.jpg,The Kumulipo : an Hawaiian creation myth,
apa-pa003,Tsunami years / by Juliet S. Kono,"Kono, Juliet S., 1943-",Bamboo Ridge Press,1995,1995,pacific islander poets,"Honolulu, HI",21.3113221,-157.8602033,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,Protected by copyright law,https://www.hathitrust.org/the-collection/search-access/access-use-policy/#ic,image,https://hdl.handle.net/2027/mdp.39015037332130,kono,/objects/small/kono_sm.jpg,/objects/thumbs/kono_th.jpg,Tsunami years / by Juliet S. Kono,
lxa001,Alternative medicine / Rafael Campo,"Campo, Rafael",Duke University Press,2013,2014,latin american poets,"Dover, NJ",40.8879409,-74.55609791,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,Protected by copyright law,https://www.hathitrust.org/the-collection/search-access/access-use-policy/#ic,image,https://hdl.handle.net/2027/dul1.ark:/13960/t3f00205w,campo,/objects/small/campo_sm.jpg,/objects/thumbs/campo_th.jpg,Alternative medicine / Rafael Campo,
lxa002,Bluestown mockingbird mambo / Sandra Maria Esteves,"Esteves, Sandra Maria, 1948-",Arte Público Press,1990,1990,latin american poets,"Bronx, NY",40.84560013,-73.86616956,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,Protected by copyright law,https://www.hathitrust.org/the-collection/search-access/access-use-policy/#ic,image,https://hdl.handle.net/2027/mdp.39015021471480,esteves,/objects/small/esteves_sm.jpg,/objects/thumbs/esteves_th.jpg,Bluestown mockingbird mambo / Sandra Maria Esteves,
na001,"The poems of Alexander Lawrence Posey. Collected and arranged by Mrs. Minnie H. Posey, with a memoir by William Elsey Connelley","Posey, Alexander Lawrence, 1873-1908",Crane Printers,1910,1910,native american poets,"Eufaula, OK",35.2879349,-95.58289511,HathiTrust Digital Library,Image;StillImage,image/jpeg,eng,"Public Domain, Google-digitized",https://www.hathitrust.org/the-collection/search-access/access-use-policy/#pd-google,image,https://hdl.handle.net/2027/hvd.32044050812528,posey,/objects/small/posey_sm.jpg,/objects/thumbs/posey_th.jpg,"The poems of Alexander Lawrence Posey. Collected and arranged by Mrs. Minnie H. Posey, with a memoir by William Elsey Connelley",
